index,name_a,name_b,pair_type,context_a,context_b,match,llm_match,lambda_val
387,mucosal disease virus,pestivirus,B,"Sjögren's disease (SjD), previously known as Sjögren syndrome or Sjögren's syndrome, is a long-term autoimmune disease t","Orthopestivirus, formerly called Pestivirus, is a genus of viruses in the family Pestiviridae. Viruses in the genus infect mammals, including members of the family Bovidae and the family Suidae.",1,0,0.3122
402,fowl pest virus,newcastle disease virus,A,"Papaver somniferum, commonly known as the opium poppy or breadseed poppy, is a species of flowering plant in the family","Virulent Newcastle disease (VND), formerly exotic Newcastle disease, is a contagious viral avian disease affecting many domestic and wild bird species; it is transmissible to humans.",1,0,0.216
426,fusarium wilt,orbivirus,D,"Fusarium wilt is a common vascular wilt fungal disease, exhibiting symptoms similar to Verticillium wilt. This disease has been investigated extensively since the early years of this century. The pathogen that causes Fusarium wilt is Fusarium oxysporum (F. oxysporum).","Orbivirus is a genus of double-stranded RNA viruses in the order Reovirales and the family Sedoreoviridae. Unlike other reoviruses, orbiviruses are arboviruses.",0,1,0.2274
464,fusarium sporotrichiella,fusarium sporotrichioides,A,"Fusarium sporotrichioides is a fungal plant pathogen, one of various Fusarium species responsible for damaging crops, in particular causing a condition known as Fusarium head blight in wheat, consequently being of notable agricultural and economic importance.","Fusarium sporotrichioides is a fungal plant pathogen, one of various Fusarium species responsible for damaging crops, in particular causing a condition known as Fusarium head blight in wheat, consequently being of notable agricultural and economic importance.",1,0,0.3204
475,feline syncytial virus,spumavirus,B,Feline foamy virus or Feline syncytial virus is a retrovirus and belongs to the family Retroviridae and the subfamily Spumaretrovirinae. It shares the genus Felispumavirus with only Puma feline foamy virus.,"Spumaretrovirinae, commonly called spumaviruses or foamyviruses, is a subfamily of the Retroviridae family. Spumaviruses are exogenous viruses that have specific morphology with prominent surface spikes.",1,0,0.2838
661,brome mosaic bromovirus,bromovirus,A,"Brome mosaic virus (BMV) is a small, positive-stranded, icosahedral RNA plant virus belonging to the genus Bromovirus, family Bromoviridae, in the Alphavirus-like superfamily.",This is a list of diseases of foliage plants belonging to the family Commelinaceae.,1,0,0.2398
672,pacific islands (trust territory),trust territory of pacific islands,A,The Trust Territory of the Pacific Islands (TTPI) was a United Nations trust territory in Micronesia administered by the United States from 1947 to 1994.,The Trust Territory of the Pacific Islands (TTPI) was a United Nations trust territory in Micronesia administered by the United States from 1947 to 1994.,1,0,0.3174
685,closterovirus,beet necrotic yellow vein furovirus,D,"Closterovirus, also known as beet yellows viral group, is a genus of viruses, in the family Closteroviridae. There are 24 species in this genus. Diseases associated with this genus include: yellowing and necrosis, particularly affecting the phloem.","Beet necrotic yellow vein virus (BNYVV) is a plant virus, transmitted by the plasmodiophorid Polymyxa betae. The BNYVV is a member of the genus Benyvirus and is responsible for rhizomania, a disease of sugar beet that causes proliferation of thin rootlets, and leads to a smaller tap root with reduced sugar content.",0,1,0.2768
832,bovine syncytial virus,spumavirus,B,"Bovine respiratory syncytial virus (BRSV) is pneumovirus closely related to human respiratory syncytial virus (RSV) that is a common cause of respiratory disease in cattle, particularly calves.","Spumaretrovirinae, commonly called spumaviruses or foamyviruses, is a subfamily of the Retroviridae family. Spumaviruses are exogenous viruses that have specific morphology with prominent surface spikes.",1,0,0.3134
879,puumala virus,hantaan virus,A,Puumala virus (PUUV) is the main cause of hemorrhagic fever with renal syndrome (HFRS) in Europe and Russia. Puumala virus is transmitted by the bank vole.,Hantaan virus (HTNV) is the main cause of hemorrhagic fever with renal syndrome (HFRS) in East Asia. Hantaan virus is transmitted by the striped field mouse.,1,0,0.9048
886,cowpea chlorotic mottle bromovirus,brome mosaic bromovirus,B,"Cowpea chlorotic mottle virus, abbreviated CCMV, is a virus that specifically infects the cowpea plant, or black-eyed pea. The leaves of infected plants develop yellow spots, hence the name ""chlorotic"".","Brome mosaic virus (BMV) is a small, positive-stranded, icosahedral RNA plant virus belonging to the genus Bromovirus, family Bromoviridae, in the Alphavirus-like superfamily.",1,0,0.3
916,protozoa,tbs,D,"Protozoa are a polyphyletic group of single-celled eukaryotes, either free-living or parasitic, that feed on organic matter such as other microorganisms or organic debris.","Bacterial disease of tomato caused by Xanthomonas species. Produces small, water-soaked spots on leaves and fruit. Favou",0,1,0.2264
1022,rabies-like viruses,lyssavirus,B,"Rabies virus is a neurotropic virus that causes rabies in animals, including humans. It can cause violence, hydrophobia,","Lyssavirus is a genus of RNA viruses in the family Rhabdoviridae, order Mononegavirales. Mammals, including humans, can serve as natural hosts. The genus Lyssavirus includes the causative agent of rabies.",1,0,0.2558
1136,potyvirus,wsmv,D,"Potyvirus is a genus of positive-strand RNA viruses in the family Potyviridae. Like begomoviruses, members of this genus may cause significant losses in agricultural, pastoral, horticultural, and ornamental crops.","Wheat streak mosaic virus (WSMV) is a plant pathogenic virus of the family Potyviridae that infects plants in the family Poaceae, especially wheat (Triticum spp.); it is globally distributed and vectored by the wheat curl mite, particularly in regions where wheat is widely grown.",0,1,0.3556
1155,erwinia carotovora,tomato yellow leaf curl virus,D,Erwinia is a genus of Enterobacterales bacteria containing mostly plant pathogenic species which was named for the famou,"Tomato yellow leaf curl virus (TYLCV) is a DNA virus from the genus Begomovirus and the family Geminiviridae. TYLCV is one of the most serious diseases affecting tomato plants, especially in tropical and subtropical areas, where it often causes major crop losses.",0,1,0.29
1169,rhizomania virus,plant rhabdovirus group b,D,"Beet necrotic yellow vein virus (BNYVV) is a plant virus, transmitted by the plasmodiophorid Polymyxa betae. The BNYVV is a member of the genus Benyvirus and is responsible for rhizomania, a disease of sugar beet that causes proliferation of thin rootlets, and leads to a smaller tap root with reduced sugar content.","Rhabdoviridae is a family of negative-strand RNA viruses in the order Mononegavirales. Vertebrates, invertebrates, plant",0,1,0.3012
1223,yellow shoot disease,black sigatoka,D,Same as Citrus Greening — Huanglongbing (HLB) is the Chinese name for the bacterial citrus greening disease. Blotchy mot,"Black sigatoka is a leaf-spot disease of banana plants caused by the ascomycete fungus Mycosphaerella fijiensis (Morelet), also known as black leaf streak.",0,1,0.1343
1253,fusarium wilt of cucumber,panama disease,D,"Fusarium wilt is a common vascular wilt fungal disease, exhibiting symptoms similar to Verticillium wilt. This disease has been investigated extensively since the early years of this century. The pathogen that causes Fusarium wilt is Fusarium oxysporum (F. oxysporum).",Panama disease (or Fusarium wilt) is a plant disease that infects banana plants (Musa spp.). It is a wilting disease caused by the fungus Fusarium oxysporum f. sp. cubense.,0,1,0.4819
1256,maize streak disease,diabrotica undecimpunctata,D,"Maize streak virus (MSV) is a virus primarily known for causing maize streak disease (MSD) in its major host, and which also infects over 80 wild and domesticated grasses.","Diabrotica undecimpunctata, the spotted cucumber beetle or southern corn rootworm, is a species of cucumber beetle that is native to North America. The species can be a major agricultural pest insect in North America.",0,1,0.2832
1323,yellow shoot disease,proterorhinus marmoratus,D,Same as Citrus Greening — Huanglongbing (HLB) is the Chinese name for the bacterial citrus greening disease. Blotchy mot,"Proterorhinus marmoratus is a species of gobiid fish, a tubenose goby native to the brackish water parts of the Black Sea and the Sea of Azov, near the coasts of Bulgaria, Georgia, Romania, Ukraine and Russia.",0,1,0.3348
1385,rna tumour viruses,potyvirus group,D,Plant diseases are diseases in plants caused by pathogens and environmental conditions. Organisms that cause infectious,"Potyvirus is a genus of positive-strand RNA viruses in the family Potyviridae. Like begomoviruses, members of this genus may cause significant losses in agricultural, pastoral, horticultural, and ornamental crops.",0,1,0.4102
1386,syncytial viruses,spumavirus,B,"Respiratory syncytial virus (RSV), also called human respiratory syncytial virus (hRSV) and human orthopneumovirus, is a virus that causes infections of the respiratory tract.","Spumaretrovirinae, commonly called spumaviruses or foamyviruses, is a subfamily of the Retroviridae family. Spumaviruses are exogenous viruses that have specific morphology with prominent surface spikes.",1,0,0.2866
1415,protozoans,protozoa,A,Protozoan infections are parasitic diseases caused by organisms formerly classified in the kingdom Protozoa. These organ,"Protozoa are a polyphyletic group of single-celled eukaryotes, either free-living or parasitic, that feed on organic matter such as other microorganisms or organic debris.",1,0,0.3074
1505,grape powdery mildew,powdery mildew,C,"Fungal disease of grape caused by Uncinula necator (Erysiphe necator). Produces white powdery growth on young leaves, shoots and berries.","Fungal disease of grape caused by Uncinula necator (Erysiphe necator). Produces white powdery growth on young leaves, shoots and berries.",0,1,0.15
1508,maize streak virus,maize streak virus (msv),C,"Maize streak virus (MSV) is a virus primarily known for causing maize streak disease (MSD) in its major host, and which also infects over 80 wild and domesticated grasses. It is an insect-transmitted pathogen of maize in the genus Mastrevirus of the family Geminiviridae that is endemic in sub-Sahara","Maize streak virus (MSV) is a virus primarily known for causing maize streak disease (MSD) in its major host, and which also infects over 80 wild and domesticated grasses. It is an insect-transmitted pathogen of maize in the genus Mastrevirus of the family Geminiviridae that is endemic in sub-Sahara",0,1,0.15
1510,septoria leaf spot,tomato septoria leaf spot,C,Fungal disease caused by Septoria lycopersici. Produces numerous small circular spots with dark borders and light grey centres. Rapidly defoliates plants.,Fungal disease caused by Septoria lycopersici. Produces numerous small circular spots with dark borders and light grey centres. Rapidly defoliates plants.,0,1,0.15
1511,tomato septoria leaf spot,leaf spot of tomato,C,Fungal disease caused by Septoria lycopersici. Produces numerous small circular spots with dark borders and light grey centres. Rapidly defoliates plants.,Fungal disease caused by Septoria lycopersici. Produces numerous small circular spots with dark borders and light grey centres. Rapidly defoliates plants.,0,1,0.15
1555,septoria leaf spot,leaf spot of tomato,C,Fungal disease caused by Septoria lycopersici. Produces numerous small circular spots with dark borders and light grey centres. Rapidly defoliates plants.,Fungal disease caused by Septoria lycopersici. Produces numerous small circular spots with dark borders and light grey centres. Rapidly defoliates plants.,0,1,0.15
1576,isariopsis leaf spot,grape leaf spot,C,Fungal disease of grape caused by Pseudocercospora vitis. Creates irregular brown lesions on leaves. Also called Isariopsis leaf spot.,Fungal disease of grape caused by Pseudocercospora vitis. Creates irregular brown lesions on leaves. Also called Isariopsis leaf spot.,0,1,0.15
1586,maize streak virus (msv),maize streak disease,C,"Maize streak virus (MSV) is a virus primarily known for causing maize streak disease (MSD) in its major host, and which also infects over 80 wild and domesticated grasses. It is an insect-transmitted pathogen of maize in the genus Mastrevirus of the family Geminiviridae that is endemic in sub-Sahara","Maize streak virus (MSV) is a virus primarily known for causing maize streak disease (MSD) in its major host, and which also infects over 80 wild and domesticated grasses. It is an insect-transmitted pathogen of maize in the genus Mastrevirus of the family Geminiviridae that is endemic in sub-Sahara",0,1,0.15
