name_a,context_a,name_b,context_b,canonical_id_a,canonical_id_b,source_url_a,source_url_b,match,llm_match,lambda_val,context_quality_a,quality_reason_a,context_quality_b,quality_reason_b
furovirus,"Furovirus is a genus of viruses, in the family Virgaviridae. Graminae, winter wheat, wheat, triticale, oat, sorghum bicolor, and plants serve as natural hosts.",potyvirus group,"Potyvirus is a genus of positive-strand RNA viruses in the family Potyviridae. Like begomoviruses, members of this genus may cause significant losses in agricultural, pastoral, horticultural, and ornamental crops.",agrovoc_c_32858,agrovoc_c_32866,http://aims.fao.org/aos/agrovoc/c_32858,http://aims.fao.org/aos/agrovoc/c_32866,0,False,0.001,poor,poor phrase: 'is a genus of',poor,poor phrase: 'is a genus of'
begomovirus,"Begomovirus is a genus of viruses, in the family Geminiviridae. They are plant viruses that as a group have a very wide host range, infecting dicotyledonous plants.",streptomyces scabies,Streptomyces scabiei is a streptomycete bacterium species found in soils around the world. Unlike most of the 500 or so Streptomyces species it is a plant pathogen causing corky lesions to form on tuber and root crops as well as decreasing the growth of seedlings.,agrovoc_c_61d49fca,agrovoc_c_35455,http://aims.fao.org/aos/agrovoc/c_61d49fca,http://aims.fao.org/aos/agrovoc/c_35455,0,False,0.001,poor,poor phrase: 'is a genus of',good,pathogen + symptom/crop found
mosaic virus of tomato,Tomato mosaic virus (ToMV) is a plant pathogenic virus. It is found worldwide and affects tomatoes and many other plants.,tomv,Tomato mosaic virus (ToMV) is a plant pathogenic virus. It is found worldwide and affects tomatoes and many other plants.,tomato_mosaic_virus,tomato_mosaic_virus,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,1,True,0.7219,good,pathogen + symptom/crop found,good,pathogen + symptom/crop found
sclerotinia sclerotiorum,"Sclerotinia sclerotiorum is a plant pathogenic fungus and can cause a disease called white mold if conditions are conducive. sclerotiorum can also be known as cottony rot, watery soft rot, stem rot, drop, crown rot and blossom blight.",sclerotinia,Sclerotinia sclerotiorum is a plant pathogenic fungus and can cause a disease called white mold if conditions are conduc,agrovoc_c_27369,agrovoc_c_6864,http://aims.fao.org/aos/agrovoc/c_27369,http://aims.fao.org/aos/agrovoc/c_6864,0,True,0.1852,good,pathogen + symptom/crop found,good,pathogen + symptom/crop found
tomato blight,Devastating oomycete disease of tomato and potato caused by Phytophthora infestans. Causes rapid water-soaked lesions th,potato blight,"Phytophthora infestans is an oomycete or water mold, a fungus-like microorganism (oomycete) that causes the serious potato and tomato disease known as late blight or potato blight.",late_blight,late_blight,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,1,True,0.5449,good,pathogen + symptom/crop found,good,pathogen + symptom/crop found
fusarium wilt of banana,"Fusarium wilt is a common vascular wilt fungal disease, exhibiting symptoms similar to Verticillium wilt. This disease has been investigated extensively since the early years of this century. The pathogen that causes Fusarium wilt is Fusarium oxysporum (F. oxysporum).",pseudocentrotus,Marine invertebrate organism; non-pathogenic aquatic species.,banana_fusarium_wilt,agrovoc_c_6300,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,http://aims.fao.org/aos/agrovoc/c_6300,0,False,0.001,good,pathogen + symptom/crop found,good,pathogen + symptom/crop found
grape leaf spot,Phomopsis cane and leaf spot occurs wherever grapes are grown. Phomopsis cane and leaf spot is more severe in grape-growing regions characterized by a humid temperate climate through the growing season.,lb,Devastating oomycete disease of tomato and potato caused by Phytophthora infestans. Causes rapid water-soaked lesions th,grape_leaf_blight,late_blight,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,0,False,0.001,good,pathogen + symptom/crop found,good,pathogen + symptom/crop found
bacterial spot of pepper,"Bacterial leaf spot on peppers and tomatoes is caused by a gram-negative and rod-shaped bacterium in the genus Xanthomonas. It causes symptoms throughout the above-ground portion of the plant including leaf spots, fruit spots and stem cankers.",isavirus,"Orthomyxoviridae is a family of negative-sense RNA viruses. It includes nine genera: Alphainfluenzavirus, Betainfluenzav",pepper_bacterial_spot,agrovoc_c_b156e7d1,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,http://aims.fao.org/aos/agrovoc/c_b156e7d1,0,False,0.0345,good,pathogen + symptom/crop found,poor,poor phrase: 'is a family of'
cucumovirus,"Cucumovirus is a genus of viruses, in the family Bromoviridae. Plants serve as natural hosts. There are four species in",wheat fusarium head blight,"Gibberella zeae, also known by the name of its anamorph Fusarium graminearum, is a fungal plant pathogen which causes fusarium head blight (FHB), a devastating disease on wheat and barley.",agrovoc_c_32856,wheat_fusarium_head_blight,http://aims.fao.org/aos/agrovoc/c_32856,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,0,False,0.001,poor,poor phrase: 'is a genus of',good,pathogen + symptom/crop found
sclerotinia,Sclerotinia sclerotiorum is a plant pathogenic fungus and can cause a disease called white mold if conditions are conduc,infectious bursal disease,"Infectious bursal disease (IBD), also known as Gumboro disease, infectious bursitis, and infectious avian nephrosis, is a highly contagious disease of young chickens and turkeys caused by infectious bursal disease virus (IBDV), characterized by immunosuppression and mortality generally at 3 to 6 weeks of age.",agrovoc_c_6864,agrovoc_c_736,http://aims.fao.org/aos/agrovoc/c_6864,http://aims.fao.org/aos/agrovoc/c_736,0,False,0.001,good,pathogen + symptom/crop found,good,pathogen + symptom/crop found
orthobunyavirus,"Schmallenberg virus, abbreviated SBV, is a virus that causes congenital malformations and stillbirths in cattle, sheep,",grape leaf blight,Fungal disease of grape caused by Pseudocercospora vitis. Creates irregular brown lesions on leaves. Also called Isariop,agrovoc_c_331430,grape_leaf_blight,http://aims.fao.org/aos/agrovoc/c_331430,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,0,False,0.1613,medium,partial: only some disease signals present,good,pathogen + symptom/crop found
panama disease,Panama disease (or Fusarium wilt) is a plant disease that infects banana plants (Musa spp.). It is a wilting disease caused by the fungus Fusarium oxysporum f. sp. cubense.,tr4,"The Triumph TR4 is a sports car produced by the Triumph Motor Company from 1961 to 1965. Successor to the TR3A, the TR4's chassis and drivetrain are closely related to those of its predecessor, but with an updated body designed by Michelotti.",banana_fusarium_wilt,banana_fusarium_wilt,https://en.wikipedia.org/wiki/Panama_disease,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,1,True,0.3864,good,pathogen + symptom/crop found,medium,partial: only some disease signals present
sbr,Fungal disease of soybean caused by Phakopsora pachyrhizi. Spreads rapidly in warm humid conditions causing defoliation,tomato mosaic,Tomato mosaic virus (ToMV) is a plant pathogenic virus. It is found worldwide and affects tomatoes and many other plants.,soybean_rust,tomato_mosaic_virus,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,0,False,0.0074,good,pathogen + symptom/crop found,good,pathogen + symptom/crop found
phytoreovirus,"Phytoreovirus is a genus of viruses, in the order Reovirales, in the family Sedoreoviridae. They are non-turreted reoviruses that are major agricultural pathogens, particularly in Asia.",xoo blight,Bacterial disease of rice caused by Xanthomonas oryzae pv. oryzae. One of the most serious rice diseases. Causes wilting,agrovoc_c_35624,rice_bacterial_blight,http://aims.fao.org/aos/agrovoc/c_35624,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,0,False,0.001,poor,poor phrase: 'is a genus of',good,pathogen + symptom/crop found
tomato bacterial spot,"Bacterial leaf spot on peppers and tomatoes is caused by a gram-negative and rod-shaped bacterium in the genus Xanthomonas. It causes symptoms throughout the above-ground portion of the plant including leaf spots, fruit spots and stem cankers.",clr,Fungal disease of coffee caused by Hemileia vastatrix. Orange-yellow powdery pustules on lower leaf surface. Historicall,tomato_bacterial_spot,coffee_leaf_rust,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,0,False,0.001,good,pathogen + symptom/crop found,good,pathogen + symptom/crop found
banana fusarium wilt,"cubense is a fungal plant pathogen that causes Panama disease of banana, also known as Fusarium wilt. The fungi and the related disease are responsible for widespread pressure on banana growing regions, destroying the economic viability of several commercially important banana varieties.",uroteuthis bartschi,"Uroteuthis bartschi, also known as Bartsch's squid, is a species of squid growing to a known mantle length of 20 cm (7.9 in). It is a type species of the genus Uroteuthis.",banana_fusarium_wilt,agrovoc_c_48709,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,http://aims.fao.org/aos/agrovoc/c_48709,0,False,0.0121,good,pathogen + symptom/crop found,good,pathogen + symptom/crop found
cedar apple rust,"Gymnosporangium juniperi-virginianae is a plant pathogen that causes cedar-apple rust. In virtually any location where apples or crabapples (Malus) and eastern red cedar coexist, cedar apple rust can be a destructive or disfiguring disease on both the apples and cedars.",gymnosporangium rust,"Gymnosporangium juniperi-virginianae is a plant pathogen that causes cedar-apple rust. In virtually any location where apples or crabapples (Malus) and eastern red cedar coexist, cedar apple rust can be a destructive or disfiguring disease on both the apples and cedars.",cedar_apple_rust,cedar_apple_rust,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,1,True,0.5965,good,pathogen + symptom/crop found,good,pathogen + symptom/crop found
brown spot of rice,Cochliobolus miyabeanus is a fungus that causes brown spot disease in rice. [Bipolaris is the correct name according to https://www.catalogueoflife.org/data/taxon/LVRG],rbs,Fungal disease of rice caused by Cochliobolus miyabeanus. Creates brown oval lesions on leaves. Associated with poor soi,rice_brown_spot,rice_brown_spot,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,1,True,0.4226,good,pathogen + symptom/crop found,good,pathogen + symptom/crop found
early blight of tomato,"Alternaria solani is a fungal pathogen that produces a disease in tomato and potato plants called early blight. The pathogen produces distinctive ""bullseye"" patterned leaf spots and can also cause stem lesions and fruit rot on tomato and tuber blight on potato.",potato early blight,"Phytophthora infestans is an oomycete or water mold, a fungus-like microorganism (oomycete) that causes the serious potato and tomato disease known as late blight or potato blight.",early_blight,early_blight,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,1,True,0.646,good,pathogen + symptom/crop found,good,pathogen + symptom/crop found
maize streak virus,"Maize streak virus (MSV) is a virus primarily known for causing maize streak disease (MSD) in its major host, and which also infects over 80 wild and domesticated grasses.",maize streak disease,"Maize streak virus (MSV) is a virus primarily known for causing maize streak disease (MSD) in its major host, and which also infects over 80 wild and domesticated grasses.",maize_streak_virus,maize_streak_virus,https://en.wikipedia.org/wiki/Maize_streak_virus,https://en.wikipedia.org/wiki/Maize_streak_virus,1,True,0.6736,good,pathogen + symptom/crop found,good,pathogen + symptom/crop found
hlb,"HLB may refer to:Halbi language of central India Helium light band, unit of surface flatness Hessian Ludwig Railway, a former German railway company Hessische Landesbahn, a German transport company High level bombing Hildenborough railway station, in England Hillsborough Resources, a Canadian coal-mining company HLB International, an international network of accountancy firms H.L.",huanglongbing,Citrus greening disease (Chinese: 黃龍病; pinyin: huánglóngbìng abbr. HLB) is a disease of citrus trees caused by bacteria of the genus Liberibacter. These microbes are transmitted by two species of bug: the Asian citrus psyllid Diaphorina citri and the African citrus psyllid Trioza erytreae. It has,citrus_greening_hlb,citrus_greening_hlb,https://en.wikipedia.org/wiki/Citrus_greening_disease,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,1,True,0.3638,medium,partial: only some disease signals present,good,pathogen + symptom/crop found
potato blight,"Phytophthora infestans is an oomycete or water mold, a fungus-like microorganism (oomycete) that causes the serious potato and tomato disease known as late blight or potato blight.",esca,"Esca can refer to:Esca or illicium, a modified luminescent fin ray found in anglerfish and frogfish Esca the Ezka, a river in the Basque country known as ""Esca"" in Spanish ESCA or Electron Spectroscopy for Chemical Analysis, now known as X-ray photoelectron spectroscopy (XPS)",late_blight,grapevine_esca,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,0,False,0.2038,good,pathogen + symptom/crop found,medium,partial: only some disease signals present
late blight,"Phytophthora infestans is an oomycete or water mold, a fungus-like microorganism (oomycete) that causes the serious potato and tomato disease known as late blight or potato blight.",phytophthora blight of potato,"Phytophthora infestans is an oomycete or water mold, a fungus-like microorganism (oomycete) that causes the serious potato and tomato disease known as late blight or potato blight.",late_blight,late_blight,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,1,True,0.6988,good,pathogen + symptom/crop found,good,pathogen + symptom/crop found
puumala virus,Puumala virus (PUUV) is the main cause of hemorrhagic fever with renal syndrome (HFRS) in Europe and Russia. Puumala virus is transmitted by the bank vole.,paracentrotus,Marine invertebrate organism; non-pathogenic aquatic species.,agrovoc_c_35746,agrovoc_c_16271,http://aims.fao.org/aos/agrovoc/c_35746,http://aims.fao.org/aos/agrovoc/c_16271,0,False,0.001,medium,partial: only some disease signals present,good,pathogen + symptom/crop found
tomato septoria leaf spot,"A leaf spot is a limited, discoloured, diseased area of a leaf that is caused by fungal, bacterial or viral plant diseases, or by injuries from nematodes, insects, environmental factors, toxicity or herbicides.",begomovirus,"Begomovirus is a genus of viruses, in the family Geminiviridae. They are plant viruses that as a group have a very wide host range, infecting dicotyledonous plants.",septoria_leaf_spot,agrovoc_c_61d49fca,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,http://aims.fao.org/aos/agrovoc/c_61d49fca,0,False,0.0905,good,pathogen + symptom/crop found,poor,poor phrase: 'is a genus of'
prototheca,"Prototheca is a genus of algae in the family Chlorellaceae. While this genus is a member of the green algae, all Prototheca no longer have chloroplasts and therefore their photosynthetic ability.",proteles,Proteles is a genus of distinctive hyenas which contain the aardwolf (Proteles cristatus) and its close fossil relatives.,agrovoc_c_16021,agrovoc_c_a04d8e57,http://aims.fao.org/aos/agrovoc/c_16021,http://aims.fao.org/aos/agrovoc/c_a04d8e57,0,False,0.001,poor,poor phrase: 'is a genus of',poor,poor phrase: 'is a genus of'
wheat yellow rust,"Wheat yellow rust, also known as wheat stripe rust, is one of the three major wheat rust diseases, along with stem rust of wheat and leaf rust.",strawberry leaf scorch,Diplocarpon earlianum is a species of fungus that causes disease in strawberry plants called strawberry leaf scorch. The disease overwinters in plant debris and infects strawberry plants during the spring season when it is wet.,wheat_stripe_rust,strawberry_leaf_scorch,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,0,False,0.023,good,pathogen + symptom/crop found,good,pathogen + symptom/crop found
aureusvirus,Maize white line mosaic virus (MWLMV) is a pathogenic plant virus.,peach bacterial spot,"Bacterial leaf scorch (BLS), or bacterial leaf spot, is a disease state affecting many crops, caused mainly by the xylem-plugging bacterium Xylella fastidiosa.",agrovoc_c_82d0027c,peach_bacterial_spot,http://aims.fao.org/aos/agrovoc/c_82d0027c,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,0,False,0.001,good,pathogen + symptom/crop found,good,pathogen + symptom/crop found
macrotermes,Macrotermes is a genus of termites belonging to the subfamily Macrotermitinae and widely distributed throughout Africa and South-East Asia. Well-studied species include Macrotermes natalensis and M.,macrotyloma uniflorum,"Macrotyloma uniflorum is a legume native to tropical southern Asia. Known for its distinct taste and texture, its rich nutrients and reputed medicinal properties, it is widely used in many cuisines.",agrovoc_c_4505,agrovoc_c_4508,http://aims.fao.org/aos/agrovoc/c_4505,http://aims.fao.org/aos/agrovoc/c_4508,0,False,0.7704,poor,poor phrase: 'is a genus of',good,pathogen + symptom/crop found
yr,Fungal disease of wheat caused by Puccinia striiformis f. sp. tritici. Produces yellow-orange stripe-like pustules along,wheat stripe rust,"Wheat yellow rust, also known as wheat stripe rust, is one of the three major wheat rust diseases, along with stem rust of wheat and leaf rust.",wheat_stripe_rust,wheat_stripe_rust,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,1,True,0.4118,good,pathogen + symptom/crop found,good,pathogen + symptom/crop found
rottboellia cochinchinensis,"Rottboellia cochinchinensis is a species of flowering plant in the family Poaceae. This grass is known by the common names Itchgrass, Raoul grass, corngrass, Kokoma grass, Guinea-fowl grass, jointed grass, Shamwa grass and Kelly grass.",pectobacterium carotovorum,Pectobacterium carotovorum is a bacterium of the family Pectobacteriaceae; it used to be a member of the genus Erwinia.,agrovoc_c_35176,agrovoc_c_24748,http://aims.fao.org/aos/agrovoc/c_35176,http://aims.fao.org/aos/agrovoc/c_24748,0,False,0.0813,good,pathogen + symptom/crop found,good,pathogen + symptom/crop found
fusarium wilt of banana,"Fusarium wilt is a common vascular wilt fungal disease, exhibiting symptoms similar to Verticillium wilt. This disease has been investigated extensively since the early years of this century. The pathogen that causes Fusarium wilt is Fusarium oxysporum (F. oxysporum).",proteus,"In Greek mythology, Proteus is an early prophetic sea god or god of rivers and oceanic bodies of water, one of several deities whom Homer calls the ""Old Man of the Sea"".",banana_fusarium_wilt,agrovoc_c_6263,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,http://aims.fao.org/aos/agrovoc/c_6263,0,False,0.0188,good,pathogen + symptom/crop found,good,pathogen + symptom/crop found
heracleum latent virus,"The parsnip is a root vegetable closely related to carrot and parsley, all belonging to the flowering plant family Apiac",sphaerotheca pannosa,Podosphaera pannosa is a plant pathogen. It produces a powdery mildew on members of the rose family.,agrovoc_c_3bc35af9,agrovoc_c_34579,http://aims.fao.org/aos/agrovoc/c_3bc35af9,http://aims.fao.org/aos/agrovoc/c_34579,0,False,0.001,poor,poor phrase: 'is a root vegetable',good,pathogen + symptom/crop found
mucosal disease virus,"Sjögren's disease (SjD), previously known as Sjögren syndrome or Sjögren's syndrome, is a long-term autoimmune disease t",xanthomonas spot,"Xanthomonas is a genus of bacteria, many of which cause plant diseases. There are at least 27 plant associated Xanthomonas spp., that all together infect at least 400 plant species.",agrovoc_c_5740,tomato_bacterial_spot,http://aims.fao.org/aos/agrovoc/c_5740,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,0,False,0.001,poor,no disease-specific information detected,poor,poor phrase: 'is a genus of'
tomato mold,"Cladosporium fulvum is an Ascomycete called Passalora fulva, a non-obligate pathogen that causes the disease on tomatoes known as the tomato leaf mold.",sporotrichum,Myceliophthora thermophila is an ascomycete fungus that grows optimally at 45–50 °C (113–122 °F). It efficiently degrade,tomato_leaf_mold,agrovoc_c_27613,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,http://aims.fao.org/aos/agrovoc/c_27613,0,False,0.001,good,pathogen + symptom/crop found,medium,partial: only some disease signals present
sarcoptes scabiei,Sarcoptes scabiei or the itch mite is a parasitic mite found in all parts of the world that burrows into skin and causes scabies.,tepovirus,"Tepovirus is a genus of viruses in the order Tymovirales, in the family Betaflexiviridae. Plants as well as some other root and tuber crops in the andes serve as natural hosts.",agrovoc_c_30924,agrovoc_c_da7808f7,http://aims.fao.org/aos/agrovoc/c_30924,http://aims.fao.org/aos/agrovoc/c_da7808f7,0,False,0.001,good,pathogen + symptom/crop found,poor,poor phrase: 'is a genus of'
lentivirus,"Lentivirus is a genus of retroviruses that cause chronic and deadly diseases characterized by long incubation periods, in humans and other mammalian species.",protomelas annectens,Protomelas annectens is a species of cichlid endemic to Lake Malawi where it is found in sandy shallows with large species of cichlid.,agrovoc_c_4263,agrovoc_c_43692,http://aims.fao.org/aos/agrovoc/c_4263,http://aims.fao.org/aos/agrovoc/c_43692,0,False,0.001,poor,poor phrase: 'is a genus of',good,pathogen + symptom/crop found
prunus serotina,"Prunus serotina, commonly called black cherry, wild black cherry, rum cherry, or mountain black cherry, is a deciduous tree or shrub in the rose family Rosaceae.",strawberry leaf scorch,Diplocarpon earlianum is a species of fungus that causes disease in strawberry plants called strawberry leaf scorch. The disease overwinters in plant debris and infects strawberry plants during the spring season when it is wet.,agrovoc_c_6290,strawberry_leaf_scorch,http://aims.fao.org/aos/agrovoc/c_6290,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,0,False,0.1163,good,pathogen + symptom/crop found,good,pathogen + symptom/crop found
late blight disease,"Phytophthora infestans is an oomycete or water mold, a fungus-like microorganism (oomycete) that causes the serious potato and tomato disease known as late blight or potato blight.",phytophthora blight of potato,"Phytophthora infestans is an oomycete or water mold, a fungus-like microorganism (oomycete) that causes the serious potato and tomato disease known as late blight or potato blight.",late_blight,late_blight,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,1,True,0.7309,good,pathogen + symptom/crop found,good,pathogen + symptom/crop found
brown rust of wheat,"Wheat leaf rust is a fungal disease that affects wheat, barley, rye stems, leaves and grains. In temperate zones it is destructive on winter wheat because the pathogen overwinters.",lr,Fungal disease of wheat caused by Puccinia triticina. Creates orange-brown circular pustules scattered on leaf surface.,wheat_leaf_rust,wheat_leaf_rust,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,1,True,0.5413,good,pathogen + symptom/crop found,good,pathogen + symptom/crop found
potato late blight,"Phytophthora infestans is an oomycete or water mold, a fungus-like microorganism (oomycete) that causes the serious potato and tomato disease known as late blight or potato blight.",late blight of potato,"Phytophthora infestans is an oomycete or water mold, a fungus-like microorganism (oomycete) that causes the serious potato and tomato disease known as late blight or potato blight.",late_blight,late_blight,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,1,True,0.7291,good,pathogen + symptom/crop found,good,pathogen + symptom/crop found
