name_a,context_a,name_b,context_b,canonical_id_a,canonical_id_b,source_url_a,source_url_b,match,llm_match,lambda_val,context_quality_a,context_quality_b,pair_type,name_sim_score,source_a,source_b,lambda_source,exclude_from_lambda,type_a,type_b,lambda_original,type_needs_scraping,same_context
mosaic virus of tomato,Tomato mosaic virus (ToMV) is a plant pathogenic virus. It is found worldwide and affects tomatoes and many other plants.,tomv,Tomato mosaic virus (ToMV) is a plant pathogenic virus. It is found worldwide and affects tomatoes and many other plants.,tomato_mosaic_virus,tomato_mosaic_virus,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,1,1,0.7219,good,good,B,0.0,,,original_llm,0,virus,virus,,0,1
sclerotinia sclerotiorum,"Sclerotinia sclerotiorum is a plant pathogenic fungus and can cause a disease called white mold if conditions are conducive. sclerotiorum can also be known as cottony rot, watery soft rot, stem rot, drop, crown rot and blossom blight.",sclerotinia,Sclerotinia sclerotiorum is a plant pathogenic fungus and can cause a disease called white mold if conditions are conduc,agrovoc_c_27369,agrovoc_c_6864,http://aims.fao.org/aos/agrovoc/c_27369,http://aims.fao.org/aos/agrovoc/c_6864,0,1,0.15,good,good,C,1.0,,,capped_type_c_fix,0,disease,fungus,0.1852,0,0
tomato blight,Devastating oomycete disease of tomato and potato caused by Phytophthora infestans. Causes rapid water-soaked lesions th,potato blight,"Phytophthora infestans is an oomycete or water mold, a fungus-like microorganism (oomycete) that causes the serious potato and tomato disease known as late blight or potato blight.",late_blight,late_blight,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,1,1,0.5449,good,good,B,0.0,,,original_llm,0,disease,fungus,,0,0
fusarium wilt of banana,"Fusarium wilt is a common vascular wilt fungal disease, exhibiting symptoms similar to Verticillium wilt. This disease has been investigated extensively since the early years of this century. The pathogen that causes Fusarium wilt is Fusarium oxysporum (F. oxysporum).",pseudocentrotus,Marine invertebrate organism; non-pathogenic aquatic species.,banana_fusarium_wilt,agrovoc_c_6300,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,http://aims.fao.org/aos/agrovoc/c_6300,0,0,0.001,good,good,D,0.0,,,original_llm,0,disease,plant,,0,0
bacterial spot of pepper,"Bacterial leaf spot on peppers and tomatoes is caused by a gram-negative and rod-shaped bacterium in the genus Xanthomonas. It causes symptoms throughout the above-ground portion of the plant including leaf spots, fruit spots and stem cankers.",isavirus,"Orthomyxoviridae is a family of negative-sense RNA viruses. It includes nine genera: Alphainfluenzavirus, Betainfluenzav",pepper_bacterial_spot,agrovoc_c_b156e7d1,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,http://aims.fao.org/aos/agrovoc/c_b156e7d1,0,0,0.0345,good,poor,D,0.0,,,original_llm,0,bacteria,plant,,0,0
cucumovirus,"Cucumovirus is a genus of viruses, in the family Bromoviridae. Plants serve as natural hosts. There are four species in",wheat fusarium head blight,"Gibberella zeae, also known by the name of its anamorph Fusarium graminearum, is a fungal plant pathogen which causes fusarium head blight (FHB), a devastating disease on wheat and barley.",agrovoc_c_32856,wheat_fusarium_head_blight,http://aims.fao.org/aos/agrovoc/c_32856,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,0,0,0.001,poor,good,D,0.0,,,original_llm,0,plant,fungus,,0,0
sbr,Fungal disease of soybean caused by Phakopsora pachyrhizi. Spreads rapidly in warm humid conditions causing defoliation,tomato mosaic,Tomato mosaic virus (ToMV) is a plant pathogenic virus. It is found worldwide and affects tomatoes and many other plants.,soybean_rust,tomato_mosaic_virus,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,0,0,0.0074,good,good,D,0.0,,,original_llm,0,disease,virus,,0,0
phytoreovirus,"Phytoreovirus is a genus of viruses, in the order Reovirales, in the family Sedoreoviridae. They are non-turreted reoviruses that are major agricultural pathogens, particularly in Asia.",xoo blight,Bacterial disease of rice caused by Xanthomonas oryzae pv. oryzae. One of the most serious rice diseases. Causes wilting,agrovoc_c_35624,rice_bacterial_blight,http://aims.fao.org/aos/agrovoc/c_35624,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,0,0,0.001,poor,good,D,0.0,,,original_llm,0,plant,disease,,0,0
tomato bacterial spot,"Bacterial leaf spot on peppers and tomatoes is caused by a gram-negative and rod-shaped bacterium in the genus Xanthomonas. It causes symptoms throughout the above-ground portion of the plant including leaf spots, fruit spots and stem cankers.",clr,Fungal disease of coffee caused by Hemileia vastatrix. Orange-yellow powdery pustules on lower leaf surface. Historicall,tomato_bacterial_spot,coffee_leaf_rust,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,0,0,0.001,good,good,D,0.0,,,original_llm,0,bacteria,disease,,0,0
banana fusarium wilt,"cubense is a fungal plant pathogen that causes Panama disease of banana, also known as Fusarium wilt. The fungi and the related disease are responsible for widespread pressure on banana growing regions, destroying the economic viability of several commercially important banana varieties.",uroteuthis bartschi,"Uroteuthis bartschi, also known as Bartsch's squid, is a species of squid growing to a known mantle length of 20 cm (7.9 in). It is a type species of the genus Uroteuthis.",banana_fusarium_wilt,agrovoc_c_48709,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,http://aims.fao.org/aos/agrovoc/c_48709,0,0,0.0121,good,good,D,0.0,,,original_llm,0,disease,plant,,0,0
brown spot of rice,Cochliobolus miyabeanus is a fungus that causes brown spot disease in rice. [Bipolaris is the correct name according to https://www.catalogueoflife.org/data/taxon/LVRG],rbs,Fungal disease of rice caused by Cochliobolus miyabeanus. Creates brown oval lesions on leaves. Associated with poor soi,rice_brown_spot,rice_brown_spot,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,1,1,0.4226,good,good,B,0.0,,,original_llm,0,disease,disease,,0,0
early blight of tomato,"Alternaria solani is a fungal pathogen that produces a disease in tomato and potato plants called early blight. The pathogen produces distinctive ""bullseye"" patterned leaf spots and can also cause stem lesions and fruit rot on tomato and tuber blight on potato.",potato early blight,"Phytophthora infestans is an oomycete or water mold, a fungus-like microorganism (oomycete) that causes the serious potato and tomato disease known as late blight or potato blight.",early_blight,early_blight,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,1,1,0.646,good,good,A,0.3333,,,original_llm,0,disease,fungus,,0,0
maize streak virus,"Maize streak virus (MSV) is a virus primarily known for causing maize streak disease (MSD) in its major host, and which also infects over 80 wild and domesticated grasses.",maize streak disease,"Maize streak virus (MSV) is a virus primarily known for causing maize streak disease (MSD) in its major host, and which also infects over 80 wild and domesticated grasses.",maize_streak_virus,maize_streak_virus,https://en.wikipedia.org/wiki/Maize_streak_virus,https://en.wikipedia.org/wiki/Maize_streak_virus,1,1,0.6736,good,good,A,0.6667,,,original_llm,0,virus,disease,,0,1
late blight,"Phytophthora infestans is an oomycete or water mold, a fungus-like microorganism (oomycete) that causes the serious potato and tomato disease known as late blight or potato blight.",phytophthora blight of potato,"Phytophthora infestans is an oomycete or water mold, a fungus-like microorganism (oomycete) that causes the serious potato and tomato disease known as late blight or potato blight.",late_blight,late_blight,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,1,1,0.6988,good,good,B,0.0,,,original_llm,0,fungus,fungus,,0,1
puumala virus,Puumala virus (PUUV) is the main cause of hemorrhagic fever with renal syndrome (HFRS) in Europe and Russia. Puumala virus is transmitted by the bank vole.,paracentrotus,Marine invertebrate organism; non-pathogenic aquatic species.,agrovoc_c_35746,agrovoc_c_16271,http://aims.fao.org/aos/agrovoc/c_35746,http://aims.fao.org/aos/agrovoc/c_16271,0,0,0.001,medium,good,D,0.0,,,original_llm,0,virus,plant,,0,0
prototheca,"Prototheca is a genus of algae in the family Chlorellaceae. While this genus is a member of the green algae, all Prototheca no longer have chloroplasts and therefore their photosynthetic ability.",proteles,Proteles is a genus of distinctive hyenas which contain the aardwolf (Proteles cristatus) and its close fossil relatives.,agrovoc_c_16021,agrovoc_c_a04d8e57,http://aims.fao.org/aos/agrovoc/c_16021,http://aims.fao.org/aos/agrovoc/c_a04d8e57,0,0,0.001,poor,poor,D,0.0,,,original_llm,1,plant,plant,,0,0
wheat yellow rust,"Wheat yellow rust, also known as wheat stripe rust, is one of the three major wheat rust diseases, along with stem rust of wheat and leaf rust.",strawberry leaf scorch,Diplocarpon earlianum is a species of fungus that causes disease in strawberry plants called strawberry leaf scorch. The disease overwinters in plant debris and infects strawberry plants during the spring season when it is wet.,wheat_stripe_rust,strawberry_leaf_scorch,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,0,0,0.023,good,good,D,0.0,,,original_llm,0,fungus,disease,,0,0
macrotermes,Macrotermes is a genus of termites belonging to the subfamily Macrotermitinae and widely distributed throughout Africa and South-East Asia. Well-studied species include Macrotermes natalensis and M.,macrotyloma uniflorum,"Macrotyloma uniflorum is a legume native to tropical southern Asia. Known for its distinct taste and texture, its rich nutrients and reputed medicinal properties, it is widely used in many cuisines.",agrovoc_c_4505,agrovoc_c_4508,http://aims.fao.org/aos/agrovoc/c_4505,http://aims.fao.org/aos/agrovoc/c_4508,0,0,0.7704,poor,good,D,0.0,,,original_llm,0,plant,unknown,,0,0
yr,Fungal disease of wheat caused by Puccinia striiformis f. sp. tritici. Produces yellow-orange stripe-like pustules along,wheat stripe rust,"Wheat yellow rust, also known as wheat stripe rust, is one of the three major wheat rust diseases, along with stem rust of wheat and leaf rust.",wheat_stripe_rust,wheat_stripe_rust,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,1,1,0.4118,good,good,B,0.0,,,original_llm,0,disease,fungus,,0,0
rottboellia cochinchinensis,"Rottboellia cochinchinensis is a species of flowering plant in the family Poaceae. This grass is known by the common names Itchgrass, Raoul grass, corngrass, Kokoma grass, Guinea-fowl grass, jointed grass, Shamwa grass and Kelly grass.",pectobacterium carotovorum,Pectobacterium carotovorum is a bacterium of the family Pectobacteriaceae; it used to be a member of the genus Erwinia.,agrovoc_c_35176,agrovoc_c_24748,http://aims.fao.org/aos/agrovoc/c_35176,http://aims.fao.org/aos/agrovoc/c_24748,0,0,0.0813,good,good,D,0.0,,,original_llm,0,plant,plant,,0,0
heracleum latent virus,"The parsnip is a root vegetable closely related to carrot and parsley, all belonging to the flowering plant family Apiac",sphaerotheca pannosa,Podosphaera pannosa is a plant pathogen. It produces a powdery mildew on members of the rose family.,agrovoc_c_3bc35af9,agrovoc_c_34579,http://aims.fao.org/aos/agrovoc/c_3bc35af9,http://aims.fao.org/aos/agrovoc/c_34579,0,0,0.001,poor,good,D,0.0,,,original_llm,0,plant,plant,,0,0
mucosal disease virus,"Sjögren's disease (SjD), previously known as Sjögren syndrome or Sjögren's syndrome, is a long-term autoimmune disease t",xanthomonas spot,"Xanthomonas is a genus of bacteria, many of which cause plant diseases. There are at least 27 plant associated Xanthomonas spp., that all together infect at least 400 plant species.",agrovoc_c_5740,tomato_bacterial_spot,http://aims.fao.org/aos/agrovoc/c_5740,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,0,0,0.001,poor,poor,D,0.0,,,original_llm,1,disease,plant,,0,0
tomato mold,"Cladosporium fulvum is an Ascomycete called Passalora fulva, a non-obligate pathogen that causes the disease on tomatoes known as the tomato leaf mold.",sporotrichum,Myceliophthora thermophila is an ascomycete fungus that grows optimally at 45–50 °C (113–122 °F). It efficiently degrade,tomato_leaf_mold,agrovoc_c_27613,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,http://aims.fao.org/aos/agrovoc/c_27613,0,0,0.001,good,medium,D,0.0,,,original_llm,0,fungus,fungus,,0,0
sarcoptes scabiei,Sarcoptes scabiei or the itch mite is a parasitic mite found in all parts of the world that burrows into skin and causes scabies.,tepovirus,"Tepovirus is a genus of viruses in the order Tymovirales, in the family Betaflexiviridae. Plants as well as some other root and tuber crops in the andes serve as natural hosts.",agrovoc_c_30924,agrovoc_c_da7808f7,http://aims.fao.org/aos/agrovoc/c_30924,http://aims.fao.org/aos/agrovoc/c_da7808f7,0,0,0.001,good,poor,D,0.0,,,original_llm,0,pest,plant,,0,0
prunus serotina,"Prunus serotina, commonly called black cherry, wild black cherry, rum cherry, or mountain black cherry, is a deciduous tree or shrub in the rose family Rosaceae.",strawberry leaf scorch,Diplocarpon earlianum is a species of fungus that causes disease in strawberry plants called strawberry leaf scorch. The disease overwinters in plant debris and infects strawberry plants during the spring season when it is wet.,agrovoc_c_6290,strawberry_leaf_scorch,http://aims.fao.org/aos/agrovoc/c_6290,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,0,0,0.1163,good,good,D,0.0,,,original_llm,0,plant,disease,,0,0
late blight disease,"Phytophthora infestans is an oomycete or water mold, a fungus-like microorganism (oomycete) that causes the serious potato and tomato disease known as late blight or potato blight.",phytophthora blight of potato,"Phytophthora infestans is an oomycete or water mold, a fungus-like microorganism (oomycete) that causes the serious potato and tomato disease known as late blight or potato blight.",late_blight,late_blight,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,1,1,0.7309,good,good,B,0.0,,,original_llm,0,disease,fungus,,0,1
brown rust of wheat,"Wheat leaf rust is a fungal disease that affects wheat, barley, rye stems, leaves and grains. In temperate zones it is destructive on winter wheat because the pathogen overwinters.",lr,Fungal disease of wheat caused by Puccinia triticina. Creates orange-brown circular pustules scattered on leaf surface.,wheat_leaf_rust,wheat_leaf_rust,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,1,1,0.5413,good,good,B,0.0,,,original_llm,0,fungus,disease,,0,0
potato late blight,"Phytophthora infestans is an oomycete or water mold, a fungus-like microorganism (oomycete) that causes the serious potato and tomato disease known as late blight or potato blight.",late blight of potato,"Phytophthora infestans is an oomycete or water mold, a fungus-like microorganism (oomycete) that causes the serious potato and tomato disease known as late blight or potato blight.",late_blight,late_blight,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,1,1,0.7291,good,good,A,1.0,,,original_llm,0,fungus,fungus,,0,1
cassava mosaic virus,"Cassava mosaic virus(es) is a collective name used to refer to one or more of eleven plant pathogenic viruses in the genus Begomovirus. African cassava mosaic virus (ACMV), East African cassava mosaic virus (EACMV), and South African cassava mosaic virus (SACMV) are distinct circular single-stranded DNA viruses which are transmitted by whiteflies and primarily infect cassava plants; these have thus far only been reported from Africa.",african cassava mosaic virus,"African cassava mosaic virus (ACMV) is a plant pathogenic virus of the family Geminiviridae that may cause either a mosaic appearance to plant leaves, or chlorosis.",agrovoc_c_33962,agrovoc_c_33962,http://aims.fao.org/aos/agrovoc/c_33962,http://aims.fao.org/aos/agrovoc/c_33962,1,1,0.6652,good,good,A,1.0,,,original_llm,0,virus,virus,,0,0
puccinia rust,"Stem rust, also known as cereal rust, black rust, red rust or red dust, is caused by the fungus Puccinia graminis, which causes significant disease in cereal crops.",common rust of maize,"Puccinia sorghi, or common rust of maize, is a species of rust fungus that infects corn and species from the plant genus Oxalis.",common_corn_rust,common_corn_rust,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,1,1,0.6391,good,good,A,0.25,,,original_llm,0,fungus,fungus,,0,0
stem rust,"Stem rust, also known as cereal rust, black rust, red rust or red dust, is caused by the fungus Puccinia graminis, which causes significant disease in cereal crops.",puccinia graminis,"Stem rust, also known as cereal rust, black rust, red rust or red dust, is caused by the fungus Puccinia graminis, which causes significant disease in cereal crops.",stem_rust,stem_rust,https://en.wikipedia.org/wiki/Stem_rust,https://en.wikipedia.org/wiki/Stem_rust,1,1,0.7927,good,good,B,0.0,,,original_llm,0,fungus,fungus,,0,1
sobemovirus,"Sobemovirus is a genus of non-enveloped, positive-strand RNA viruses which infect plants. There are 27 species in this genus. Diseases associated with this genus include: mosaics and mottles.",isavirus,"Orthomyxoviridae is a family of negative-sense RNA viruses. It includes nine genera: Alphainfluenzavirus, Betainfluenzav",agrovoc_c_32867,agrovoc_c_b156e7d1,http://aims.fao.org/aos/agrovoc/c_32867,http://aims.fao.org/aos/agrovoc/c_b156e7d1,0,0,0.1024,poor,poor,D,0.0,,,original_llm,1,plant,plant,,0,0
fowl pest virus,"Papaver somniferum, commonly known as the opium poppy or breadseed poppy, is a species of flowering plant in the family",sobemovirus,"Sobemovirus is a genus of non-enveloped, positive-strand RNA viruses which infect plants. There are 27 species in this genus. Diseases associated with this genus include: mosaics and mottles.",agrovoc_c_5166,agrovoc_c_32867,http://aims.fao.org/aos/agrovoc/c_5166,http://aims.fao.org/aos/agrovoc/c_32867,0,0,0.001,medium,poor,D,0.0,,,original_llm,0,plant,plant,,0,0
erwinia carotovora,Erwinia is a genus of Enterobacterales bacteria containing mostly plant pathogenic species which was named for the famou,erwinia aroideae,"Aglaonema is a genus of flowering plants in the arum family, Araceae. They are native to tropical and subtropical region",agrovoc_c_24748,agrovoc_c_24748,http://aims.fao.org/aos/agrovoc/c_24748,http://aims.fao.org/aos/agrovoc/c_24748,1,0,0.2814,poor,poor,A,0.3333,,,original_llm,1,bacteria,plant,,0,0
late blight of tomato,"Phytophthora infestans is an oomycete or water mold, a fungus-like microorganism (oomycete) that causes the serious potato and tomato disease known as late blight or potato blight.",leaf spot of tomato,"Bacterial leaf spot on peppers and tomatoes is caused by a gram-negative and rod-shaped bacterium in the genus Xanthomonas. It causes symptoms throughout the above-ground portion of the plant including leaf spots, fruit spots and stem cankers.",late_blight,septoria_leaf_spot,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,0,0,0.0364,good,good,C,0.25,,,original_llm,0,fungus,disease,,0,0
xanthomonas peach spot,"Bacterial disease of peach caused by Xanthomonas arboricola pv. pruni. Causes water-soaked spots on leaves, fruit, and t",peach bacterial spot,"Bacterial leaf scorch (BLS), or bacterial leaf spot, is a disease state affecting many crops, caused mainly by the xylem-plugging bacterium Xylella fastidiosa.",peach_bacterial_spot,peach_bacterial_spot,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,1,1,0.7879,good,good,A,0.5,,,original_llm,0,bacteria,disease,,0,0
cpm,Fungal disease of cherry caused by Podosphaera clandestina. Forms white powdery patches on young leaves and shoots. Dist,powdery mildew of cherry,Fungal disease of cherry caused by Podosphaera clandestina. Forms white powdery patches on young leaves and shoots. Dist,cherry_powdery_mildew,cherry_powdery_mildew,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,1,1,0.3712,medium,medium,B,0.0,,,original_llm,0,disease,fungus,,0,1
grape rot,Fungal disease of grape caused by Guignardia bidwellii. Causes small yellow-green spots on leaves and shrivels fruit int,proteaceae,"The Proteaceae form a family of flowering plants predominantly distributed in the Southern Hemisphere. The family comprises 83 genera with about 1,660 known species.",grape_black_rot,agrovoc_c_6240,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,http://aims.fao.org/aos/agrovoc/c_6240,0,0,0.001,good,good,D,0.0,,,original_llm,0,disease,plant,,0,0
prunus serotina,"Prunus serotina, commonly called black cherry, wild black cherry, rum cherry, or mountain black cherry, is a deciduous tree or shrub in the rose family Rosaceae.",bromovirus,This is a list of diseases of foliage plants belonging to the family Commelinaceae.,agrovoc_c_6290,agrovoc_c_32851,http://aims.fao.org/aos/agrovoc/c_6290,http://aims.fao.org/aos/agrovoc/c_32851,0,0,0.001,good,poor,D,0.0,,,original_llm,0,plant,plant,,0,0
fusarium wilt,"Fusarium wilt is a common vascular wilt fungal disease, exhibiting symptoms similar to Verticillium wilt. This disease has been investigated extensively since the early years of this century. The pathogen that causes Fusarium wilt is Fusarium oxysporum (F. oxysporum).",banana wilt,"Panama disease is a plant disease that infects banana plants. It is a wilting disease caused by the fungus Fusarium oxysporum f. The pathogen is resistant to fungicides, and its control is limited to phytosanitary measures.",banana_fusarium_wilt,banana_fusarium_wilt,https://en.wikipedia.org/wiki/Panama_disease,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,1,1,0.5923,good,good,A,0.3333,,,original_llm,0,disease,disease,,0,0
citrus greening,Citrus greening disease is a disease of citrus trees caused by bacteria of the genus Liberibacter. These microbes are transmitted by two species of bug: the Asian citrus psyllid Diaphorina citri and the African citrus psyllid Trioza erytreae.,fusarium wilt of cucumber,"Fusarium wilt is a common vascular wilt fungal disease, exhibiting symptoms similar to Verticillium wilt. This disease has been investigated extensively since the early years of this century. The pathogen that causes Fusarium wilt is Fusarium oxysporum (F. oxysporum).",citrus_greening_hlb,agrovoc_c_915c5423,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,http://aims.fao.org/aos/agrovoc/c_915c5423,0,0,0.001,good,good,D,0.0,,,original_llm,0,disease,disease,,0,0
sudden death syndrome,"Sudden death syndrome (SDS), a disease in soybean plants, quickly spread across the southern United States in the 1970s, eventually reaching most agricultural areas of the US.",umbravirus,Umbravirus is a genus of plant viruses assigned to the family Tombusviridae. The genus has 11 species.,sudden_death_syndrome,agrovoc_c_42be09fe,https://www.kaggle.com/datasets/abdallahalidev/plantvillage-dataset,http://aims.fao.org/aos/agrovoc/c_42be09fe,0,0,0.1104,good,poor,D,0.0,,,original_llm,0,disease,plant,,0,0
